level1,level2,level3,url
aseo y hogar,cuidado del hogar,ferreteria,https://www.larebajavirtual.com/catalogo/categoria/categoria/63
aseo y hogar,cuidado del hogar,implementos limpieza,https://www.larebajavirtual.com/catalogo/categoria/categoria/65
aseo y hogar,revistas y periodicos,periodicos,https://www.larebajavirtual.com/catalogo/categoria/categoria/75
aseo y hogar,varios,encendedores,https://www.larebajavirtual.com/catalogo/categoria/categoria/70
bebe,jugueteria,jugueter�a,https://www.larebajavirtual.com/catalogo/categoria/categoria/647
cuidado en casa,terapia y recuperacion,cuidado de cicatrices,https://www.larebajavirtual.com/catalogo/categoria/categoria/800
cuidado personal,dermocosmetica,maquillaje,https://www.larebajavirtual.com/catalogo/categoria/categoria/95
dermocosmetica,maquillaje,rostro,https://www.larebajavirtual.com/catalogo/categoria/categoria/176
dermocosmetica,solares,ni�os,https://www.larebajavirtual.com/catalogo/categoria/categoria/186
dermocosmetica,solares,labios,https://www.larebajavirtual.com/catalogo/categoria/categoria/187
maquillaje y accesorios,accesorios de mujer,accesorios,https://www.larebajavirtual.com/catalogo/categoria/categoria/190
maquillaje y accesorios,accesorios de mujer,herramientas de belleza,https://www.larebajavirtual.com/catalogo/categoria/categoria/191
maquillaje y accesorios,accesorios de mujer,medias de mujer,https://www.larebajavirtual.com/catalogo/categoria/categoria/192
maquillaje y accesorios,accesorios de mujer,electroimagen,https://www.larebajavirtual.com/catalogo/categoria/categoria/642
maquillaje y accesorios,labios,brillos,https://www.larebajavirtual.com/catalogo/categoria/categoria/194
maquillaje y accesorios,labios,labiales,https://www.larebajavirtual.com/catalogo/categoria/categoria/195
maquillaje y accesorios,labios,lapices,https://www.larebajavirtual.com/catalogo/categoria/categoria/196
maquillaje y accesorios,ojos,delineadores,https://www.larebajavirtual.com/catalogo/categoria/categoria/198
maquillaje y accesorios,ojos,lapices,https://www.larebajavirtual.com/catalogo/categoria/categoria/199
maquillaje y accesorios,ojos,pesta�inas,https://www.larebajavirtual.com/catalogo/categoria/categoria/200
maquillaje y accesorios,ojos,sombras,https://www.larebajavirtual.com/catalogo/categoria/categoria/201
maquillaje y accesorios,ojos,tratamientos,https://www.larebajavirtual.com/catalogo/categoria/categoria/202
maquillaje y accesorios,rostro,base,https://www.larebajavirtual.com/catalogo/categoria/categoria/204
maquillaje y accesorios,rostro,correctores,https://www.larebajavirtual.com/catalogo/categoria/categoria/205
maquillaje y accesorios,rostro,polvo,https://www.larebajavirtual.com/catalogo/categoria/categoria/206
maquillaje y accesorios,rostro,rubor,https://www.larebajavirtual.com/catalogo/categoria/categoria/207
maquillaje y accesorios,u�as,esmaltes,https://www.larebajavirtual.com/catalogo/categoria/categoria/209
maquillaje y accesorios,u�as,removedores,https://www.larebajavirtual.com/catalogo/categoria/categoria/210
maquillaje y accesorios,u�as,tratamientos,https://www.larebajavirtual.com/catalogo/categoria/categoria/211
mascotas,accesorios gato,accesorios gato,https://www.larebajavirtual.com/catalogo/categoria/categoria/725
mascotas,accesorios perro,accesorios perro,https://www.larebajavirtual.com/catalogo/categoria/categoria/709
mascotas,accesorios perro,camiseta perro,https://www.larebajavirtual.com/catalogo/categoria/categoria/711
mascotas,alimento gato,alimento seco gato,https://www.larebajavirtual.com/catalogo/categoria/categoria/727
mascotas,alimento gato,alimento h�medo gato,https://www.larebajavirtual.com/catalogo/categoria/categoria/728
mascotas,alimento gato,snacks gato,https://www.larebajavirtual.com/catalogo/categoria/categoria/729
mascotas,alimento perro,snacks perro,https://www.larebajavirtual.com/catalogo/categoria/categoria/712
mascotas,alimento perro,alimento seco perro,https://www.larebajavirtual.com/catalogo/categoria/categoria/713
mascotas,alimento perro,alimento h�medo perro,https://www.larebajavirtual.com/catalogo/categoria/categoria/714
mascotas,aseo gato,arena,https://www.larebajavirtual.com/catalogo/categoria/categoria/731
mascotas,aseo gato,shampoo gato,https://www.larebajavirtual.com/catalogo/categoria/categoria/732
mascotas,aseo gato,ba�o en seco,https://www.larebajavirtual.com/catalogo/categoria/categoria/733
mascotas,aseo perro,antipulgas,https://www.larebajavirtual.com/catalogo/categoria/categoria/716
mascotas,aseo perro,ba�o en seco,https://www.larebajavirtual.com/catalogo/categoria/categoria/717
mascotas,aseo perro,bolsas aseo,https://www.larebajavirtual.com/catalogo/categoria/categoria/718
mascotas,aseo perro,jabones,https://www.larebajavirtual.com/catalogo/categoria/categoria/719
mascotas,aseo perro,pa�os h�medos - pa�ales y tapetes,https://www.larebajavirtual.com/catalogo/categoria/categoria/720
mascotas,aseo perro,ver m�s...,https://www.larebajavirtual.com/catalogo/division/division/715
mascotas,salud & medicamentos,esencias,https://www.larebajavirtual.com/catalogo/categoria/categoria/735
mascotas,salud & medicamentos,vitaminas y suplementos,https://www.larebajavirtual.com/catalogo/categoria/categoria/736
mascotas,salud & medicamentos,medicamentos,https://www.larebajavirtual.com/catalogo/categoria/categoria/737
naturales,dolor e inflamacion,antiespasmodico,https://www.larebajavirtual.com/catalogo/categoria/categoria/229
naturales,dolor e inflamacion,antimigra�oso,https://www.larebajavirtual.com/catalogo/categoria/categoria/230
naturales,dolor e inflamacion,dolor de cabeza y general,https://www.larebajavirtual.com/catalogo/categoria/categoria/231
naturales,dolor e inflamacion,muscular,https://www.larebajavirtual.com/catalogo/categoria/categoria/232
naturales,estomago,antiacidos y antiulcerosos,https://www.larebajavirtual.com/catalogo/categoria/categoria/234
naturales,estomago,hepatoprotectores,https://www.larebajavirtual.com/catalogo/categoria/categoria/235
naturales,estomago,laxante,https://www.larebajavirtual.com/catalogo/categoria/categoria/236
naturales,sistema nervioso,ansiedad y depresion,https://www.larebajavirtual.com/catalogo/categoria/categoria/238
naturales,sistema nervioso,insomnio,https://www.larebajavirtual.com/catalogo/categoria/categoria/239
naturales,tos,tos,https://www.larebajavirtual.com/catalogo/categoria/categoria/241
naturales,varios,adelgazantes y depresores,https://www.larebajavirtual.com/catalogo/categoria/categoria/243
naturales,varios,hipolipemiante,https://www.larebajavirtual.com/catalogo/categoria/categoria/254
naturales,varios,estimulantes del apetito,https://www.larebajavirtual.com/catalogo/categoria/categoria/253
naturales,varios,diuretico,https://www.larebajavirtual.com/catalogo/categoria/categoria/252
naturales,varios,disfunsion prostatica,https://www.larebajavirtual.com/catalogo/categoria/categoria/251
naturales,varios,ver m�s...,https://www.larebajavirtual.com/catalogo/division/division/242
naturales,vitaminas y minerales,multivitaminicos,https://www.larebajavirtual.com/catalogo/categoria/categoria/257
naturales,vitaminas y minerales,vitaminas,https://www.larebajavirtual.com/catalogo/categoria/categoria/258
salud y bienestar,antigripales,adultos,https://www.larebajavirtual.com/catalogo/categoria/categoria/284
salud y bienestar,antigripales,ni�os,https://www.larebajavirtual.com/catalogo/categoria/categoria/285
salud y bienestar,bienestar sexual,lubricantes y dispositivos,https://www.larebajavirtual.com/catalogo/categoria/categoria/281
salud y bienestar,bienestar sexual,preservativos,https://www.larebajavirtual.com/catalogo/categoria/categoria/282
salud y bienestar,descongentionantes,otico,https://www.larebajavirtual.com/catalogo/categoria/categoria/287
salud y bienestar,descongentionantes,nasal,https://www.larebajavirtual.com/catalogo/categoria/categoria/288
salud y bienestar,descongentionantes,oftalmico,https://www.larebajavirtual.com/catalogo/categoria/categoria/289
salud y bienestar,dolor e inflamacion,cabeza y general,https://www.larebajavirtual.com/catalogo/categoria/categoria/291
salud y bienestar,dolor e inflamacion,muscular,https://www.larebajavirtual.com/catalogo/categoria/categoria/292
salud y bienestar,dolor e inflamacion,antimigra�oso,https://www.larebajavirtual.com/catalogo/categoria/categoria/293
salud y bienestar,dolor e inflamacion,dolor e inflamacion ni�os,https://www.larebajavirtual.com/catalogo/categoria/categoria/294
salud y bienestar,dolor e inflamacion,antiespasmodico,https://www.larebajavirtual.com/catalogo/categoria/categoria/295
salud y bienestar,equipos de control,pruebas de embarazo,https://www.larebajavirtual.com/catalogo/categoria/categoria/317
salud y bienestar,estomago,digestivos,https://www.larebajavirtual.com/catalogo/categoria/categoria/305
salud y bienestar,estomago,antiacidos y antiulcerosos,https://www.larebajavirtual.com/catalogo/categoria/categoria/306
salud y bienestar,estomago,antidiarreicos,https://www.larebajavirtual.com/catalogo/categoria/categoria/307
salud y bienestar,estomago,mareo y vertigo,https://www.larebajavirtual.com/catalogo/categoria/categoria/308
salud y bienestar,estomago,laxante,https://www.larebajavirtual.com/catalogo/categoria/categoria/309
salud y bienestar,estomago,ver m�s...,https://www.larebajavirtual.com/catalogo/division/division/304
salud y bienestar,hospitalarios,soluciones,https://www.larebajavirtual.com/catalogo/categoria/categoria/637
salud y bienestar,hospitalarios,suministros y equipos,https://www.larebajavirtual.com/catalogo/categoria/categoria/638
salud y bienestar,tos,flema,https://www.larebajavirtual.com/catalogo/categoria/categoria/302
salud y bienestar,tos,seca,https://www.larebajavirtual.com/catalogo/categoria/categoria/303
salud y bienestar,varios,cicatrizante,https://www.larebajavirtual.com/catalogo/categoria/categoria/313
salud y bienestar,varios,adelgazantes y depresores,https://www.larebajavirtual.com/catalogo/categoria/categoria/314
salud y bienestar,varios,insomnio,https://www.larebajavirtual.com/catalogo/categoria/categoria/315
salud y bienestar,vitaminas y minerales,complementos,https://www.larebajavirtual.com/catalogo/categoria/categoria/297
salud y bienestar,vitaminas y minerales,multivitaminicos,https://www.larebajavirtual.com/catalogo/categoria/categoria/298
salud y bienestar,vitaminas y minerales,vitaminas,https://www.larebajavirtual.com/catalogo/categoria/categoria/299
salud y bienestar,vitaminas y minerales,hierro y minerales,https://www.larebajavirtual.com/catalogo/categoria/categoria/300
