category	subcategory	sub-subcategory	url
ALIMENTOS Y BEBIDAS	Antojos	Confiteria	/catalogo/categoria/categoria/3
ALIMENTOS Y BEBIDAS	Antojos	Galletas	/catalogo/categoria/categoria/4
ALIMENTOS Y BEBIDAS	Antojos	Helados	/catalogo/categoria/categoria/5
ALIMENTOS Y BEBIDAS	Antojos	Pasabocas	/catalogo/categoria/categoria/6
ALIMENTOS Y BEBIDAS	Antojos	Ponques	/catalogo/categoria/categoria/7
ALIMENTOS Y BEBIDAS	Bebidas	Agua	/catalogo/categoria/categoria/9
ALIMENTOS Y BEBIDAS	Bebidas	Energizantes e hidratantes	/catalogo/categoria/categoria/10
ALIMENTOS Y BEBIDAS	Bebidas	Gaseosas y maltas	/catalogo/categoria/categoria/11
ALIMENTOS Y BEBIDAS	Bebidas	Jugos y refrescos	/catalogo/categoria/categoria/12
ALIMENTOS Y BEBIDAS	Bebidas	Te liquido	/catalogo/categoria/categoria/13
ALIMENTOS Y BEBIDAS	Desayuno	Cafe y chocolate	/catalogo/categoria/categoria/30
ALIMENTOS Y BEBIDAS	Desayuno	Cereales	/catalogo/categoria/categoria/31
ALIMENTOS Y BEBIDAS	Desayuno	Leche liquida	/catalogo/categoria/categoria/32
ALIMENTOS Y BEBIDAS	Desayuno	Huevos	/catalogo/categoria/categoria/33
ALIMENTOS Y BEBIDAS	Desayuno	Pan y tostadas	/catalogo/categoria/categoria/34
ALIMENTOS Y BEBIDAS	Lacteos	Leche en polvo	/catalogo/categoria/categoria/20
ALIMENTOS Y BEBIDAS	Lacteos	Leche liquida	/catalogo/categoria/categoria/21
ALIMENTOS Y BEBIDAS	Lacteos	Bebidas lacteas	/catalogo/categoria/categoria/22
ALIMENTOS Y BEBIDAS	Lacteos	Postres	/catalogo/categoria/categoria/23
ALIMENTOS Y BEBIDAS	Lacteos	Quesos	/catalogo/categoria/categoria/24
ALIMENTOS Y BEBIDAS	Lacteos	Ver m·s...	/catalogo/division/division/19
ALIMENTOS Y BEBIDAS	Licores	Aguardientes y rones	/catalogo/categoria/categoria/15
ALIMENTOS Y BEBIDAS	Licores	Cerveza	/catalogo/categoria/categoria/16
ALIMENTOS Y BEBIDAS	Licores	Vinos	/catalogo/categoria/categoria/17
ALIMENTOS Y BEBIDAS	Licores	Whisky y vodka	/catalogo/categoria/categoria/18
ALIMENTOS Y BEBIDAS	Mercado	Abarrotes	/catalogo/categoria/categoria/42
ALIMENTOS Y BEBIDAS	Mercado	Carnes frias	/catalogo/categoria/categoria/43
ALIMENTOS Y BEBIDAS	Mercado	Endulzantes	/catalogo/categoria/categoria/44
ALIMENTOS Y BEBIDAS	Mercado	Enlatados y conservas	/catalogo/categoria/categoria/45
ALIMENTOS Y BEBIDAS	Mercado	Leches	/catalogo/categoria/categoria/46
ALIMENTOS Y BEBIDAS	Mundo saludable	Antojos	/catalogo/categoria/categoria/36
ALIMENTOS Y BEBIDAS	Mundo saludable	Bebidas funcionales	/catalogo/categoria/categoria/37
ALIMENTOS Y BEBIDAS	Mundo saludable	Bebidas nutricionales	/catalogo/categoria/categoria/38
ALIMENTOS Y BEBIDAS	Mundo saludable	Despensa	/catalogo/categoria/categoria/39
ALIMENTOS Y BEBIDAS	Mundo saludable	Lacteos	/catalogo/categoria/categoria/40
ALIMENTOS Y BEBIDAS	Para el bebe	Alimentos lacteos	/catalogo/categoria/categoria/26
ALIMENTOS Y BEBIDAS	Para el bebe	Cereales	/catalogo/categoria/categoria/27
ALIMENTOS Y BEBIDAS	Para el bebe	Compotas	/catalogo/categoria/categoria/28
ASEO Y HOGAR	Cuidado de la ropa	Blanqueadores/desmanchadores	/catalogo/categoria/categoria/52
ASEO Y HOGAR	Cuidado de la ropa	Detergentes en polvo	/catalogo/categoria/categoria/53
ASEO Y HOGAR	Cuidado de la ropa	Detergentes liquidos	/catalogo/categoria/categoria/54
ASEO Y HOGAR	Cuidado de la ropa	Jabon en barra	/catalogo/categoria/categoria/55
ASEO Y HOGAR	Cuidado de la ropa	Suavizantes	/catalogo/categoria/categoria/56
ASEO Y HOGAR	Cuidado de †la cocina	Implementos de limpieza	/catalogo/categoria/categoria/49
ASEO Y HOGAR	Cuidado de †la cocina	Lavaloza	/catalogo/categoria/categoria/50
ASEO Y HOGAR	Cuidado del ba—o	Eliminador de olores	/catalogo/categoria/categoria/58
ASEO Y HOGAR	Cuidado del ba—o	Papel higienico	/catalogo/categoria/categoria/59
ASEO Y HOGAR	Cuidado del hogar	Ambientadores	/catalogo/categoria/categoria/61
ASEO Y HOGAR	Cuidado del hogar	Ceras y betunes	/catalogo/categoria/categoria/62
ASEO Y HOGAR	Cuidado del hogar	Ferreteria	/catalogo/categoria/categoria/63
ASEO Y HOGAR	Cuidado del hogar	Iluminacion y electricos	/catalogo/categoria/categoria/64
ASEO Y HOGAR	Cuidado del hogar	Implementos limpieza	/catalogo/categoria/categoria/65
ASEO Y HOGAR	Cuidado del hogar	Ver m·s...	/catalogo/division/division/60
ASEO Y HOGAR	Revistas y periodicos	Periodicos	/catalogo/categoria/categoria/75
ASEO Y HOGAR	Revistas y periodicos	Revistas	/catalogo/categoria/categoria/76
ASEO Y HOGAR	Varios	Encendedores	/catalogo/categoria/categoria/70
ASEO Y HOGAR	Varios	Pilas y cargadores	/catalogo/categoria/categoria/71
