level1,level2,level3,url
alimentos y bebidas,antojos,confiteria,https://www.larebajavirtual.com/catalogo/categoria/categoria/3
alimentos y bebidas,antojos,galletas,https://www.larebajavirtual.com/catalogo/categoria/categoria/4
alimentos y bebidas,antojos,helados,https://www.larebajavirtual.com/catalogo/categoria/categoria/5
alimentos y bebidas,antojos,pasabocas,https://www.larebajavirtual.com/catalogo/categoria/categoria/6
alimentos y bebidas,antojos,ponques,https://www.larebajavirtual.com/catalogo/categoria/categoria/7
alimentos y bebidas,bebidas,agua,https://www.larebajavirtual.com/catalogo/categoria/categoria/9
alimentos y bebidas,bebidas,energizantes e hidratantes,https://www.larebajavirtual.com/catalogo/categoria/categoria/10
alimentos y bebidas,bebidas,gaseosas y maltas,https://www.larebajavirtual.com/catalogo/categoria/categoria/11
alimentos y bebidas,bebidas,jugos y refrescos,https://www.larebajavirtual.com/catalogo/categoria/categoria/12
alimentos y bebidas,bebidas,te liquido,https://www.larebajavirtual.com/catalogo/categoria/categoria/13
alimentos y bebidas,desayuno,cafe y chocolate,https://www.larebajavirtual.com/catalogo/categoria/categoria/30
alimentos y bebidas,desayuno,cereales,https://www.larebajavirtual.com/catalogo/categoria/categoria/31
alimentos y bebidas,desayuno,leche liquida,https://www.larebajavirtual.com/catalogo/categoria/categoria/32
alimentos y bebidas,desayuno,huevos,https://www.larebajavirtual.com/catalogo/categoria/categoria/33
alimentos y bebidas,desayuno,pan y tostadas,https://www.larebajavirtual.com/catalogo/categoria/categoria/34
alimentos y bebidas,lacteos,leche en polvo,https://www.larebajavirtual.com/catalogo/categoria/categoria/20
alimentos y bebidas,lacteos,leche liquida,https://www.larebajavirtual.com/catalogo/categoria/categoria/21
alimentos y bebidas,lacteos,bebidas lacteas,https://www.larebajavirtual.com/catalogo/categoria/categoria/22
alimentos y bebidas,lacteos,postres,https://www.larebajavirtual.com/catalogo/categoria/categoria/23
alimentos y bebidas,lacteos,quesos,https://www.larebajavirtual.com/catalogo/categoria/categoria/24
alimentos y bebidas,lacteos,ver m�s...,https://www.larebajavirtual.com/catalogo/division/division/19
alimentos y bebidas,licores,aguardientes y rones,https://www.larebajavirtual.com/catalogo/categoria/categoria/15
